400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJune 30, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230630P00345000 2023-01-24 3:56PM EST 345.00 4.98 4.76 4.96 -0.17 -3.30% 40 1,576 23.26%
SPY230630P00346000 2023-01-24 10:38AM EST 346.00 5.43 4.88 5.07 +0.34 +6.68% 1 264 23.14%
SPY230630P00347000 2023-01-24 2:40PM EST 347.00 5.12 4.99 5.19 -0.07 -1.35% 20 354 23.02%
SPY230630P00348000 2023-01-24 2:40PM EST 348.00 5.22 5.11 5.31 -0.63 -10.77% 20 189 22.90%
SPY230630P00349000 2023-01-24 1:54PM EST 349.00 5.34 5.23 5.43 -0.30 -5.32% 3 266 22.78%
SPY230630P00350000 2023-01-24 3:46PM EST 350.00 5.75 5.35 5.50 -0.05 -0.86% 117 7,269 22.57%
SPY230630P00351000 2023-01-20 3:58PM EST 351.00 6.75 5.48 5.68 0.00 - 2 548 22.54%
SPY230630P00352000 2023-01-23 2:31PM EST 352.00 6.06 5.61 5.81 0.00 - 7 88 22.42%
SPY230630P00353000 2023-01-24 1:43PM EST 353.00 5.81 5.74 5.94 -0.40 -6.44% 1 858 22.29%
SPY230630P00354000 2023-01-24 12:47PM EST 354.00 6.22 5.87 6.08 +0.07 +1.14% 6 126 22.18%
SPY230630P00355000 2023-01-24 3:56PM EST 355.00 6.25 6.01 6.22 -0.36 -5.45% 7 1,165 22.06%
SPY230630P00356000 2023-01-19 3:43PM EST 356.00 9.00 6.16 6.37 0.00 - 6 74 21.95%
SPY230630P00357000 2023-01-20 3:50PM EST 357.00 7.81 6.30 6.51 0.00 - 2 54 21.82%
SPY230630P00358000 2023-01-24 12:47PM EST 358.00 6.83 6.45 6.67 -0.04 -0.58% 6 1,081 21.72%
SPY230630P00359000 2023-01-24 12:43PM EST 359.00 6.99 6.61 6.82 -1.36 -16.29% 8 1,384 21.59%
SPY230630P00360000 2023-01-24 4:06PM EST 360.00 6.80 6.79 6.98 -0.56 -7.61% 334 2,941 21.48%
SPY230630P00361000 2023-01-23 1:18PM EST 361.00 7.18 6.92 7.14 0.00 - 13 586 21.36%
SPY230630P00362000 2023-01-23 3:15PM EST 362.00 7.79 7.08 7.30 0.00 - 3 362 21.23%
SPY230630P00363000 2023-01-23 3:30PM EST 363.00 7.94 7.25 7.47 0.00 - 1 3,368 21.12%
SPY230630P00364000 2023-01-24 11:57AM EST 364.00 7.90 7.42 7.64 -0.21 -2.59% 1 314 20.99%
SPY230630P00365000 2023-01-24 3:21PM EST 365.00 7.85 7.60 7.82 -0.43 -5.19% 19 1,926 20.88%
SPY230630P00366000 2023-01-23 11:28AM EST 366.00 8.37 7.77 8.00 0.00 - 2 70 20.76%
SPY230630P00367000 2023-01-24 3:02PM EST 367.00 8.06 7.96 8.18 -0.66 -7.57% 1 283 20.64%
SPY230630P00368000 2023-01-23 3:29PM EST 368.00 8.94 8.15 8.37 0.00 - 4 1,480 20.52%
SPY230630P00369000 2023-01-24 3:55PM EST 369.00 8.65 8.34 8.57 -0.24 -2.70% 5 983 20.41%
SPY230630P00370000 2023-01-24 4:12PM EST 370.00 8.55 8.53 8.76 -0.58 -6.35% 390 6,027 20.28%
SPY230630P00371000 2023-01-23 12:39PM EST 371.00 9.25 8.73 8.96 0.00 - 10 228 20.16%
SPY230630P00372000 2023-01-24 2:46PM EST 372.00 9.07 8.93 9.17 -0.08 -0.87% 7 488 20.04%
SPY230630P00373000 2023-01-24 9:52AM EST 373.00 9.89 9.14 9.38 -0.26 -2.56% 2 196 19.92%
SPY230630P00374000 2023-01-20 3:37PM EST 374.00 11.56 9.35 9.59 0.00 - 6 247 19.80%
SPY230630P00375000 2023-01-24 3:55PM EST 375.00 9.93 9.57 9.81 -0.53 -5.07% 62 2,194 19.68%
SPY230630P00376000 2023-01-24 9:42AM EST 376.00 10.96 9.79 10.03 +0.23 +2.14% 1 518 19.55%
SPY230630P00377000 2023-01-24 1:51PM EST 377.00 10.23 10.02 10.26 -0.46 -4.30% 25 276 19.43%
SPY230630P00378000 2023-01-24 3:01PM EST 378.00 10.40 10.24 10.49 -0.15 -1.42% 31 202 19.30%
SPY230630P00379000 2023-01-24 4:01PM EST 379.00 10.70 10.48 10.73 -0.87 -7.52% 26 239 19.18%
SPY230630P00380000 2023-01-24 4:01PM EST 380.00 10.75 10.71 10.96 -0.59 -5.20% 61 3,964 19.04%
SPY230630P00381000 2023-01-24 1:58PM EST 381.00 11.12 10.97 11.21 -0.86 -7.18% 33 219 18.92%
SPY230630P00382000 2023-01-24 3:36PM EST 382.00 11.69 11.21 11.47 -0.52 -4.26% 10 388 18.80%
SPY230630P00383000 2023-01-24 4:01PM EST 383.00 11.70 11.47 11.72 -0.60 -4.88% 4 204 18.66%
SPY230630P00384000 2023-01-23 3:07PM EST 384.00 12.90 11.73 11.98 0.00 - 11 131 18.53%
SPY230630P00385000 2023-01-24 3:24PM EST 385.00 12.32 11.97 12.24 -0.58 -4.50% 80 17,161 18.39%
SPY230630P00386000 2023-01-24 3:58PM EST 386.00 12.57 12.26 12.52 -0.92 -6.82% 3 107 18.27%
SPY230630P00387000 2023-01-24 3:14PM EST 387.00 12.85 12.53 12.79 -0.60 -4.46% 1 158 18.13%
SPY230630P00388000 2023-01-24 3:55PM EST 388.00 13.20 12.80 13.07 -0.32 -2.37% 7 330 17.99%
SPY230630P00389000 2023-01-24 3:42PM EST 389.00 13.85 13.09 13.36 +0.42 +3.13% 3 173 17.86%
SPY230630P00390000 2023-01-24 4:01PM EST 390.00 13.37 13.40 13.66 -0.81 -5.71% 200 2,332 17.73%
SPY230630P00391000 2023-01-23 12:17PM EST 391.00 14.49 13.70 13.96 0.00 - 4 760 17.59%
SPY230630P00392000 2023-01-24 3:46PM EST 392.00 14.81 14.01 14.27 +0.08 +0.54% 14 304 17.46%
SPY230630P00393000 2023-01-24 1:21PM EST 393.00 14.71 14.31 14.58 +0.10 +0.68% 3 249 17.32%
SPY230630P00394000 2023-01-24 4:01PM EST 394.00 14.70 14.63 14.90 -1.38 -8.58% 5 810 17.18%
SPY230630P00395000 2023-01-24 4:13PM EST 395.00 15.01 14.95 15.22 -1.04 -6.48% 146 1,170 17.03%
SPY230630P00396000 2023-01-24 2:30PM EST 396.00 15.56 15.28 15.55 -0.82 -5.01% 4 214 16.88%
SPY230630P00397000 2023-01-24 2:05PM EST 397.00 16.19 15.62 15.89 -0.56 -3.34% 16 282 16.74%
SPY230630P00398000 2023-01-24 4:12PM EST 398.00 15.99 15.96 16.23 -0.97 -5.72% 41 197 16.59%
SPY230630P00399000 2023-01-24 3:59PM EST 399.00 16.70 16.31 16.58 -0.73 -4.19% 171 111 16.44%
SPY230630P00400000 2023-01-24 4:01PM EST 400.00 16.75 16.67 16.94 -0.71 -4.07% 217 7,046 16.29%
SPY230630P00401000 2023-01-24 4:01PM EST 401.00 17.00 17.04 17.30 -0.80 -4.49% 356 83 16.14%
SPY230630P00402000 2023-01-24 10:48AM EST 402.00 18.44 17.40 17.68 -0.61 -3.20% 2 100 15.99%
SPY230630P00403000 2023-01-18 9:43AM EST 403.00 19.58 17.79 18.07 0.00 - 2 77 15.85%
SPY230630P00404000 2023-01-24 11:54AM EST 404.00 19.05 18.19 18.47 -0.23 -1.19% 3 288 15.70%
SPY230630P00405000 2023-01-24 11:30AM EST 405.00 19.18 18.59 18.86 -0.32 -1.64% 19 181 15.54%
SPY230630P00406000 2023-01-23 2:40PM EST 406.00 20.22 18.99 19.27 0.00 - 5 173 15.38%
SPY230630P00407000 2023-01-24 3:37PM EST 407.00 20.15 19.41 19.69 -6.86 -25.40% 26 116 15.23%
SPY230630P00408000 2023-01-06 1:16PM EST 408.00 31.00 19.84 20.12 0.00 - 1 46 15.07%
SPY230630P00409000 2023-01-13 3:37PM EST 409.00 22.63 20.28 20.56 0.00 - 5 82 14.91%
SPY230630P00410000 2023-01-24 3:40PM EST 410.00 21.50 20.72 21.00 +0.10 +0.47% 21 758 14.75%
SPY230630P00411000 2023-01-23 3:31PM EST 411.00 22.52 21.17 21.46 0.00 - 3 751 14.59%
SPY230630P00415000 2023-01-23 1:05PM EST 415.00 23.39 22.57 23.87 0.00 - 6 539 14.41%
SPY230630P00420000 2023-01-24 12:46PM EST 420.00 26.66 25.19 26.59 +0.33 +1.25% 22 344 13.63%
SPY230630P00425000 2023-01-24 2:45PM EST 425.00 29.00 28.11 29.63 0.00 - 5 389 12.84%
SPY230630P00430000 2023-01-24 10:15AM EST 430.00 33.70 31.36 33.01 +0.95 +2.90% 2 203 12.03%
SPY230630P00435000 2023-01-23 11:12AM EST 435.00 36.47 34.94 36.73 0.00 - 1 394 11.18%
SPY230630P00440000 2023-01-23 11:31AM EST 440.00 40.30 38.86 40.81 0.00 - 2 238 10.29%
