400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 25, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230125P00372000 2023-01-24 3:49PM EST 372.00 0.01 0.01 0.02 -0.01 -50.00% 1,457 545 53.13%
SPY230125P00373000 2023-01-24 3:19PM EST 373.00 0.01 0.00 0.00 -0.01 -50.00% 92 1,214 25.00%
SPY230125P00374000 2023-01-24 3:19PM EST 374.00 0.02 0.01 0.02 0.00 - 125 761 50.00%
SPY230125P00375000 2023-01-24 2:18PM EST 375.00 0.02 0.01 0.02 -0.01 -33.33% 180 1,632 49.61%
SPY230125P00376000 2023-01-24 3:42PM EST 376.00 0.01 0.00 0.00 -0.02 -66.67% 41 598 25.00%
SPY230125P00377000 2023-01-24 3:46PM EST 377.00 0.02 0.00 0.00 -0.01 -33.33% 42 980 25.00%
SPY230125P00378000 2023-01-24 4:14PM EST 378.00 0.02 0.01 0.02 -0.01 -33.33% 764 10,521 44.14%
SPY230125P00379000 2023-01-24 3:27PM EST 379.00 0.01 0.01 0.02 -0.03 -75.00% 78 5,713 42.19%
SPY230125P00380000 2023-01-24 3:59PM EST 380.00 0.02 0.01 0.02 -0.02 -50.00% 1,183 3,339 40.63%
SPY230125P00381000 2023-01-24 4:09PM EST 381.00 0.01 0.01 0.02 -0.03 -75.00% 1,281 6,609 38.67%
SPY230125P00382000 2023-01-24 4:12PM EST 382.00 0.01 0.01 0.02 -0.03 -75.00% 256 6,233 36.72%
SPY230125P00383000 2023-01-24 4:14PM EST 383.00 0.02 0.01 0.02 -0.03 -60.00% 5,488 3,837 35.16%
SPY230125P00384000 2023-01-24 3:57PM EST 384.00 0.03 0.02 0.03 -0.03 -50.00% 417 2,555 35.16%
SPY230125P00385000 2023-01-24 4:12PM EST 385.00 0.03 0.02 0.03 -0.04 -57.14% 4,187 8,342 33.20%
SPY230125P00386000 2023-01-24 4:09PM EST 386.00 0.03 0.02 0.03 -0.05 -62.50% 2,621 2,626 31.25%
SPY230125P00387000 2023-01-24 4:13PM EST 387.00 0.02 0.02 0.03 -0.07 -77.78% 4,937 3,465 29.30%
SPY230125P00388000 2023-01-24 4:14PM EST 388.00 0.04 0.03 0.04 -0.07 -63.64% 10,139 8,553 28.52%
SPY230125P00389000 2023-01-24 4:13PM EST 389.00 0.05 0.03 0.04 -0.08 -61.54% 5,900 4,802 26.37%
SPY230125P00390000 2023-01-24 4:14PM EST 390.00 0.04 0.04 0.05 -0.13 -76.47% 19,144 11,308 25.20%
SPY230125P00391000 2023-01-24 4:13PM EST 391.00 0.05 0.05 0.06 -0.16 -76.19% 12,020 5,156 23.83%
SPY230125P00392000 2023-01-24 4:13PM EST 392.00 0.07 0.06 0.08 -0.20 -74.07% 12,833 7,244 22.85%
SPY230125P00393000 2023-01-24 4:14PM EST 393.00 0.09 0.09 0.10 -0.23 -71.88% 13,553 5,115 21.49%
SPY230125P00394000 2023-01-24 4:14PM EST 394.00 0.13 0.12 0.13 -0.33 -71.74% 22,724 5,985 20.22%
SPY230125P00395000 2023-01-24 4:14PM EST 395.00 0.20 0.18 0.19 -0.35 -63.64% 57,078 9,906 19.43%
SPY230125P00396000 2023-01-24 4:14PM EST 396.00 0.28 0.27 0.28 -0.48 -63.16% 40,384 6,633 18.70%
SPY230125P00397000 2023-01-24 4:14PM EST 397.00 0.41 0.39 0.40 -0.53 -56.38% 82,795 8,983 17.80%
SPY230125P00398000 2023-01-24 4:14PM EST 398.00 0.57 0.56 0.58 -0.63 -52.50% 106,365 8,853 16.99%
SPY230125P00399000 2023-01-24 4:14PM EST 399.00 0.82 0.80 0.82 -0.73 -47.10% 95,595 6,045 15.99%
SPY230125P00400000 2023-01-24 4:14PM EST 400.00 1.14 1.13 1.15 -0.80 -41.24% 108,784 7,835 14.94%
SPY230125P00401000 2023-01-24 4:14PM EST 401.00 1.57 1.56 1.58 -0.85 -35.12% 32,937 2,495 13.58%
SPY230125P00402000 2023-01-24 4:14PM EST 402.00 2.17 2.09 2.12 -0.90 -29.32% 9,124 1,414 11.52%
SPY230125P00403000 2023-01-24 4:14PM EST 403.00 2.80 2.73 2.77 -0.90 -24.32% 2,870 783 0.00%
SPY230125P00404000 2023-01-24 4:14PM EST 404.00 3.56 3.31 3.54 -0.64 -15.24% 785 879 0.00%
SPY230125P00405000 2023-01-24 4:14PM EST 405.00 4.30 4.25 4.89 -0.78 -15.35% 857 154 15.04%
SPY230125P00406000 2023-01-24 4:14PM EST 406.00 5.24 4.57 5.79 -1.01 -16.16% 83 22 0.00%
SPY230125P00407000 2023-01-24 4:09PM EST 407.00 5.67 5.49 6.71 -1.31 -18.77% 153 110 0.00%
SPY230125P00408000 2023-01-24 4:08PM EST 408.00 6.70 6.43 7.65 -1.70 -20.24% 42 57 0.00%
SPY230125P00409000 2023-01-24 4:01PM EST 409.00 8.52 7.46 8.59 -0.23 -2.63% 93 7 0.00%
SPY230125P00410000 2023-01-24 4:11PM EST 410.00 8.54 8.40 9.58 -2.09 -19.66% 106 25 0.00%
SPY230125P00413000 2023-01-24 12:02PM EST 413.00 13.60 11.40 12.58 +1.47 +12.12% 2 0 0.00%
SPY230125P00414000 2023-01-24 11:16AM EST 414.00 14.10 12.45 13.59 -1.13 -7.42% 2 0 0.00%
SPY230125P00418000 2023-01-20 10:44AM EST 418.00 27.46 16.39 17.62 0.00 - 2 0 0.00%
